Systematic Name,Standard Name,Sgd Alias,Description,gene_link
YBR028C,YPK3,putative protein kinase YPK3,"AGC kinase; phosphorylated by cAMP-dependent protein kinase (PKA) in a TORC1-dependent manner; directly phosphorylated by TORC1; phosphorylates ribosomal protein Rps6a/b (S6), in a TORC-dependent manner; undergoes autophosphorylation",<a href='https://www.yeastgenome.org/locus/YBR028C' target='_blank'>YBR028C</a>
YBR029C,CDS1,CDG1|phosphatidate cytidylyltransferase,"Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids; human homolog CDS1 can complement yeast cds1 null mutant",<a href='https://www.yeastgenome.org/locus/YBR029C' target='_blank'>YBR029C</a>
YBR030W,RKM3,protein-lysine N-methyltransferase,Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia,<a href='https://www.yeastgenome.org/locus/YBR030W' target='_blank'>YBR030W</a>
YBR031W,RPL4A,L2A|L4|L4A|ribosomal 60S subunit protein L4A|rp2|uL4|YL2,"Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR031W' target='_blank'>YBR031W</a>
YBR032W, , ,Putative protein of unknown function; conserved among S. cerevisiae strains; YBR032W is not an essential gene,<a href='https://www.yeastgenome.org/locus/YBR032W' target='_blank'>YBR032W</a>
YBR033W,EDS1, ,"Putative zinc cluster protein, predicted to be a transcription factor; not an essential gene; EDS1 has a paralog, RGT1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR033W' target='_blank'>YBR033W</a>
YBR034C,HMT1,HCP1|ODP1|protein-arginine omega-N methyltransferase HMT1|RMT1,"Nuclear SAM-dependent mono- and asymmetric methyltransferase; modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p, ribosomal protein Rps2p, and histones H3 and H4; interacts genetically with genes encoding components of Rpd3(L) and this interaction is important for Rpd3 recruitment to the subtelomeric region",<a href='https://www.yeastgenome.org/locus/YBR034C' target='_blank'>YBR034C</a>
YBR035C,PDX3,pyridoxamine-phosphate oxidase PDX3,Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism,<a href='https://www.yeastgenome.org/locus/YBR035C' target='_blank'>YBR035C</a>
YBR036C,CSG2,CLS2|mannosylinositol phosphorylceramide synthase regulatory subunit,Endoplasmic reticulum membrane protein; required for mannosylation of inositolphosphorylceramide and for growth at high calcium concentrations; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YBR036C' target='_blank'>YBR036C</a>
YBR037C,SCO1,Cu-binding protein SCO1|PET161,"Copper-binding protein of mitochondrial inner membrane; required for cytochrome c oxidase activity and respiration; may function to deliver copper to cytochrome c oxidase; similar to thioredoxins; SCO1 has a paralog, SCO2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR037C' target='_blank'>YBR037C</a>
YBR038W,CHS2,chitin synthase CHS2,Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis,<a href='https://www.yeastgenome.org/locus/YBR038W' target='_blank'>YBR038W</a>
YBR039W,ATP3,F1F0 ATP synthase subunit gamma,"Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",<a href='https://www.yeastgenome.org/locus/YBR039W' target='_blank'>YBR039W</a>
YBR040W,FIG1, ,"Integral membrane protein required for efficient mating; may participate in or regulate the low affinity Ca2+ influx system, which affects intracellular signaling and cell-cell fusion during mating",<a href='https://www.yeastgenome.org/locus/YBR040W' target='_blank'>YBR040W</a>
YBR041W,FAT1,long-chain fatty acid transporter FAT1,Very long chain fatty acyl-CoA synthetase and fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport of long chain fatty acids,<a href='https://www.yeastgenome.org/locus/YBR041W' target='_blank'>YBR041W</a>
YBR042C,CST26,PSI1|putative acyltransferase,"Acyltransferase; enzyme mainly responsible for the introduction of saturated very long chain fatty acids into neo-synthesized molecules of phosphatidylinositol; required for incorporation of stearic acid into phosphatidylinositol; affects chromosome stability when overexpressed; CST26 has a paralog, YDR018C, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR042C' target='_blank'>YBR042C</a>
YBR043C,QDR3,AQR2,"Multidrug transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; has a role in polyamine homeostasis; involved in spore wall asembly; sequence similarity to DTR1 and QDR1, and the triple mutant dtr1 qdr1 qdr3 exhibits reduced dityrosine fluorescence relative to the single mutants; expression is upregulated under polyamine stress; required for resistance to quinidine, barban, cisplatin, and bleomycin",<a href='https://www.yeastgenome.org/locus/YBR043C' target='_blank'>YBR043C</a>
YBR044C,TCM62, ,Protein involved in assembly of the succinate dehydrogenase complex; mitochondrial; putative chaperone,<a href='https://www.yeastgenome.org/locus/YBR044C' target='_blank'>YBR044C</a>
YBR045C,GIP1,protein phosphatase regulator GIP1,"Meiosis-specific regulatory subunit of the Glc7p protein phosphatase; regulates spore wall formation and septin organization, required for expression of some late meiotic genes and for normal localization of Glc7p",<a href='https://www.yeastgenome.org/locus/YBR045C' target='_blank'>YBR045C</a>
YBR046C,ZTA1,NADPH:quinone reductase,NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin,<a href='https://www.yeastgenome.org/locus/YBR046C' target='_blank'>YBR046C</a>
YBR047W,FMP23, ,"Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",<a href='https://www.yeastgenome.org/locus/YBR047W' target='_blank'>YBR047W</a>
YBR048W,RPS11B,ribosomal 40S subunit protein S11B|rp41B|S11B|S17|S18B|uS17|YS12,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11B has a paralog, RPS11A, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR048W' target='_blank'>YBR048W</a>
YBR049C,REB1,DNA-binding protein REB1|EBF1|GRF2,RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription,<a href='https://www.yeastgenome.org/locus/YBR049C' target='_blank'>YBR049C</a>
YBR050C,REG2,protein phosphatase regulator REG2,"Regulatory subunit of the Glc7p type-1 protein phosphatase; involved with Reg1p, Glc7p, and Snf1p in regulation of glucose-repressible genes, also involved in glucose-induced proteolysis of maltose permease; REG2 has a paralog, REG1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR050C' target='_blank'>YBR050C</a>
YBR051W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the REG2/YBR050C regulatory subunit of the Glc7p type-1 protein phosphatase",<a href='https://www.yeastgenome.org/locus/YBR051W' target='_blank'>YBR051W</a>
YBR052C,RFS1,flavodoxin-like fold family protein,"Protein of unknown function; member of a flavodoxin-like fold protein family that includes Pst2p and Ycp4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; RFS1 has a paralog, PST2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR052C' target='_blank'>YBR052C</a>
YBR053C, , ,Putative protein of unknown function; induced by cell wall perturbation,<a href='https://www.yeastgenome.org/locus/YBR053C' target='_blank'>YBR053C</a>
YBR054W,YRO2, ,"Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies",<a href='https://www.yeastgenome.org/locus/YBR054W' target='_blank'>YBR054W</a>
YBR055C,PRP6,RNA6|TSM7269|U4/U6-U5 snRNP complex subunit PRP6,Splicing factor; component of the U4/U6-U5 snRNP complex,<a href='https://www.yeastgenome.org/locus/YBR055C' target='_blank'>YBR055C</a>
YBR056C-B, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the dubious ORF YBR056W-A",<a href='https://www.yeastgenome.org/locus/YBR056C-B' target='_blank'>YBR056C-B</a>
YBR056W,MRX18,17-beta-hydroxysteroid dehydrogenase-like protein,Putative glycoside hydrolase of the mitochondrial intermembrane space,<a href='https://www.yeastgenome.org/locus/YBR056W' target='_blank'>YBR056W</a>
YBR056W-A,MNC1, ,"Putative membrane protein upregulated in toxic manganese levels; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog, YDR034W-B, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR056W-A' target='_blank'>YBR056W-A</a>
YBR057C,MUM2,SPOT8,"Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p, which is a component of the origin recognition complex",<a href='https://www.yeastgenome.org/locus/YBR057C' target='_blank'>YBR057C</a>
YBR058C,UBP14,GID6|ubiquitin-specific protease UBP14,"Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T",<a href='https://www.yeastgenome.org/locus/YBR058C' target='_blank'>YBR058C</a>
YBR058C-A,TSC3, ,Protein that stimulates the activity of serine palmitoyltransferase;  involved in sphingolipid biosynthesis; Lcb1p and Lcb2p are the two components of serine palmitoyltransferase,<a href='https://www.yeastgenome.org/locus/YBR058C-A' target='_blank'>YBR058C-A</a>
YBR059C,AKL1,serine/threonine protein kinase AKL1,"Ser/Thr protein kinase; phosphorylates Pan1p, Sla1p and Ent1p to negatively regulate endocytosis in response to membrane stress; regulates actin cytoskeleton organization and clathrin-dependent endocytosis; phosphorylated and inhibited by upstream kinase, Fpk1p; member, along with Ark1p and Prk1p, of the Ark kinase family ",<a href='https://www.yeastgenome.org/locus/YBR059C' target='_blank'>YBR059C</a>
YBR060C,ORC2,origin recognition complex subunit 2|RRR1|SIR5,Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; interacts with Spp1p and with trimethylated histone H3; phosphorylated by Cdc28p,<a href='https://www.yeastgenome.org/locus/YBR060C' target='_blank'>YBR060C</a>
YBR061C,TRM7,tRNA methyltransferase TRM7,"2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively; yeast null mutant can be functionally complemented by human FTSJ1, mutations in which have been implicated in nonsyndromic X-linked intellectual disability (NSXLID)",<a href='https://www.yeastgenome.org/locus/YBR061C' target='_blank'>YBR061C</a>
YBR062C, , ,Protein of unknown function that interacts with Msb2p; may play a role in activation of the filamentous growth pathway,<a href='https://www.yeastgenome.org/locus/YBR062C' target='_blank'>YBR062C</a>
YBR063C, , ,Putative protein of unknown function; YBR063C is not an essential gene,<a href='https://www.yeastgenome.org/locus/YBR063C' target='_blank'>YBR063C</a>
YBR064W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR063C",<a href='https://www.yeastgenome.org/locus/YBR064W' target='_blank'>YBR064W</a>
YBR065C,ECM2,SLT11,"Pre-mRNA splicing factor; facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome, function may be regulated by Slu7p",<a href='https://www.yeastgenome.org/locus/YBR065C' target='_blank'>YBR065C</a>
YBR066C,NRG2, ,Transcriptional repressor; mediates glucose repression and negatively regulates filamentous growth; activated in stochastic pulses of nuclear localization in response to low glucose,<a href='https://www.yeastgenome.org/locus/YBR066C' target='_blank'>YBR066C</a>
YBR067C,TIP1,putative lipase,Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins,<a href='https://www.yeastgenome.org/locus/YBR067C' target='_blank'>YBR067C</a>
YBR068C,BAP2,branched-chain amino acid permease BAP2,"High-affinity leucine permease; functions as a branched-chain amino acid permease involved in uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains; BAP2 has a paralog, BAP3, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR068C' target='_blank'>YBR068C</a>
YBR069C,TAT1,amino acid transporter TAT1|TAP1|VAP1,"Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress",<a href='https://www.yeastgenome.org/locus/YBR069C' target='_blank'>YBR069C</a>
YBR070C,ALG14,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14,Component of UDP-GlcNAc transferase; required for second step of dolichyl-linked oligosaccharide synthesis; anchors catalytic subunit Alg13p to ER membrane; similar to bacterial and human glycosyltransferases; both human homologs ALG13 and ALG14 are required to complement yeast alg14 mutant; mutations of human ALG14 cause congenital myasthenic syndrome,<a href='https://www.yeastgenome.org/locus/YBR070C' target='_blank'>YBR070C</a>
YBR071W, , ,Protein of unknown function found in the cytoplasm and bud neck; mRNA expression may be regulated by the cell cycle and/or cell wall stress; overexpression of YBR071W affects endocytic protein trafficking,<a href='https://www.yeastgenome.org/locus/YBR071W' target='_blank'>YBR071W</a>
YBR072C-A, , ,Putative protein of unknown function; identified by fungal homology and RT-PCR,<a href='https://www.yeastgenome.org/locus/YBR072C-A' target='_blank'>YBR072C-A</a>
YBR072W,HSP26,chaperone protein HSP26,"Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity",<a href='https://www.yeastgenome.org/locus/YBR072W' target='_blank'>YBR072W</a>
YBR073W,RDH54,DNA-dependent ATPase RDH54|TID1,"DNA-dependent ATPase; DNA recombination/repair translocase, supercoils DNA, promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis, meiosis; implicated in cell divisions in telomerase-negative strains through adaptation to DNA damage, which allows bypass of cell cycle arrest and contributes senescence-specific genome instability; phosphorylated in response to DNA damage",<a href='https://www.yeastgenome.org/locus/YBR073W' target='_blank'>YBR073W</a>
YBR074W,PFF1,YBR075W,Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuole physiology,<a href='https://www.yeastgenome.org/locus/YBR074W' target='_blank'>YBR074W</a>
YBR076C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM8; identified by fungal homology and RT-PCR",<a href='https://www.yeastgenome.org/locus/YBR076C-A' target='_blank'>YBR076C-A</a>
YBR076W,ECM8, ,Non-essential protein of unknown function,<a href='https://www.yeastgenome.org/locus/YBR076W' target='_blank'>YBR076W</a>
YBR077C,SLM4,EGO3|GSE1|NIR1,"Subunit of the EGO/GSE complex; the vacuolar/endosomal membrane associated EGO/GSE complex regulates exit from rapamycin-induced growth arrest, stimulating microautophagy and sorting of Gap1p from the endosome to the plasma membrane; essential for the integrity and function of EGO; gene exhibits synthetic genetic interaction with MSS4",<a href='https://www.yeastgenome.org/locus/YBR077C' target='_blank'>YBR077C</a>
YBR078W,ECM33, ,"GPI-anchored protein involved in efficient glucose uptake; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog, PST1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR078W' target='_blank'>YBR078W</a>
YBR079C,RPG1,TIF32|translation initiation factor eIF3 core subunit a,eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; essential for loading mRNA onto ribosome at entry and exit channels of preinitiation complex; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough,<a href='https://www.yeastgenome.org/locus/YBR079C' target='_blank'>YBR079C</a>
YBR080C,SEC18,AAA family ATPase SEC18|ANU4,"AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)",<a href='https://www.yeastgenome.org/locus/YBR080C' target='_blank'>YBR080C</a>
YBR081C,SPT7,GIT2|SAGA histone acetyltransferase complex subunit SPT7,Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex,<a href='https://www.yeastgenome.org/locus/YBR081C' target='_blank'>YBR081C</a>
YBR082C,UBC4,E2 ubiquitin-conjugating protein UBC4,"Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog, UBC5, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR082C' target='_blank'>YBR082C</a>
YBR083W,TEC1,ROC1,"Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes, which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member",<a href='https://www.yeastgenome.org/locus/YBR083W' target='_blank'>YBR083W</a>
YBR084C-A,RPL19A,eL19|L19A|L19e|L23A|ribosomal 60S subunit protein L19A|rpl5L|YL14,"Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR084C-A' target='_blank'>YBR084C-A</a>
YBR084W,MIS1,trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1,"Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase",<a href='https://www.yeastgenome.org/locus/YBR084W' target='_blank'>YBR084W</a>
YBR085C-A, , ,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YBR085C-A' target='_blank'>YBR085C-A</a>
YBR085W,AAC3,ADP/ATP carrier protein AAC3|ANC3,"Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Aac1p; has roles in maintenance of viability and in respiration; AAC3 has a paralog, PET9, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR085W' target='_blank'>YBR085W</a>
YBR086C,IST2, ,"Cortical ER protein involved in ER-plasma membrane (PM) tethering; one of 6 proteins (Ist2, Scs2, Scs22, Tcb1, Tcb2, Tcb3) that connect ER to PM, regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1 phosphatase to PI4P; required to locate Osh6, Osh7 in ER/PM contact site to allow phosphatidylserine transport from ER to PM; localizes to mother in small-budded cells, to bud in medium-, large-budded cells; mRNA transported to bud tip by actomyosin-driven process",<a href='https://www.yeastgenome.org/locus/YBR086C' target='_blank'>YBR086C</a>
YBR087W,RFC5,replication factor C subunit 5,Subunit of heteropentameric Replication factor C (RF-C); RF-C is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon,<a href='https://www.yeastgenome.org/locus/YBR087W' target='_blank'>YBR087W</a>
YBR088C,POL30,PCNA|proliferating cell nuclear antigen,Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair; PCNA ubiquitination at K164 plays a crucial role during Okazaki fragment processing,<a href='https://www.yeastgenome.org/locus/YBR088C' target='_blank'>YBR088C</a>
YBR089C-A,NHP6B,high-mobility group nucleosome-binding protein|YBR090C-A,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR089C-A' target='_blank'>YBR089C-A</a>
YBR089W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30",<a href='https://www.yeastgenome.org/locus/YBR089W' target='_blank'>YBR089W</a>
YBR090C, , ,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus,<a href='https://www.yeastgenome.org/locus/YBR090C' target='_blank'>YBR090C</a>
YBR091C,TIM12,MRS5,"Essential protein of the inner mitochondrial membrane; peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins",<a href='https://www.yeastgenome.org/locus/YBR091C' target='_blank'>YBR091C</a>
YBR092C,PHO3,acid phosphatase PHO3|phoC,"Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin",<a href='https://www.yeastgenome.org/locus/YBR092C' target='_blank'>YBR092C</a>
YBR093C,PHO5,acid phosphatase PHO5|phoE,Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2,<a href='https://www.yeastgenome.org/locus/YBR093C' target='_blank'>YBR093C</a>
YBR094W,PBY1,putative tubulin tyrosine ligase,Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and deleted for mms4,<a href='https://www.yeastgenome.org/locus/YBR094W' target='_blank'>YBR094W</a>
YBR095C,RXT2,RAF60,Component of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth; relocalizes to the cytosol in response to hypoxia,<a href='https://www.yeastgenome.org/locus/YBR095C' target='_blank'>YBR095C</a>
YBR096W, , ,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER,<a href='https://www.yeastgenome.org/locus/YBR096W' target='_blank'>YBR096W</a>
YBR097W,VPS15,GRD8|ubiquitin-binding serine/threonine protein kinase VPS15|VAC4|VPL19|VPS40|VPT15,"Serine/threonine protein kinase involved in vacuolar protein sorting; functions as a membrane-associated complex with Vps34p; active form recruits Vps34p to the Golgi membrane; interacts with the GDP-bound form of Gpa1p; myristoylated; a fraction is localized, with Vps34p, to nuclear pores at nucleus-vacuole junctions and may facilitate transcription elongation for genes positioned at the nuclear periphery",<a href='https://www.yeastgenome.org/locus/YBR097W' target='_blank'>YBR097W</a>
YBR098W,MMS4,SLX2|YBR100W,"Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in recombination, DNA repair, and joint molecule formation/resolution during meiotic recombination; phosphorylation of the non-catalytic subunit Mms4p by Cdc28p and Cdc5p during mitotic cell cycle activates the function of Mms4p-Mus81p",<a href='https://www.yeastgenome.org/locus/YBR098W' target='_blank'>YBR098W</a>
YBR099C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene MMS4",<a href='https://www.yeastgenome.org/locus/YBR099C' target='_blank'>YBR099C</a>
YBR101C,FES1, ,"Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for degradation; cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum; protein abundance increases in response to DNA replication stress",<a href='https://www.yeastgenome.org/locus/YBR101C' target='_blank'>YBR101C</a>
YBR102C,EXO84,exocyst subunit EXO84|USA3,Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate,<a href='https://www.yeastgenome.org/locus/YBR102C' target='_blank'>YBR102C</a>
YBR103C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by homology to related yeast",<a href='https://www.yeastgenome.org/locus/YBR103C-A' target='_blank'>YBR103C-A</a>
YBR103W,SIF2,EMB1,WD40 repeat-containing subunit of Set3C histone deacetylase complex; complex represses early/middle sporulation genes; antagonizes telomeric silencing; binds specifically to the Sir4p N-terminus,<a href='https://www.yeastgenome.org/locus/YBR103W' target='_blank'>YBR103W</a>
YBR104W,YMC2,organic acid transporter,"Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog, YMC1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR104W' target='_blank'>YBR104W</a>
YBR105C,VID24,GID4|glucose-induced degradation complex subunit VID24,"GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles",<a href='https://www.yeastgenome.org/locus/YBR105C' target='_blank'>YBR105C</a>
YBR106W,SND3,PHO88,"Involved in SRP-independent protein targeting to the ER; component of an alternative ER-targeting pathway partially redundant with the GET pathway that can compensate for SRP loss; preference for substrates with downstream transmembrane domains; interacts with Snd1p, Env10p/Snd2p, and Sec61p-translocon subunits; role in establishing nucleus-vacuole junctions (NVJs) in high glucose; targeted to the NVJ during glucose starvation to facilitate expansion; role in phosphate transport with Pho86p",<a href='https://www.yeastgenome.org/locus/YBR106W' target='_blank'>YBR106W</a>
